parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,total_time,cost
2,4,2,4,4,268.2,0.478763889
2,4,2,4,4,188.52577,0.351947292
2,4,2,4,4,290.77,0.498833333
4,6,4,8,4,60.23,0.174361111
4,6,4,8,4,62.04,0.177944444
4,6,4,6,4,66.89,0.289680556
4,6,4,6,4,68.18,0.263958333
4,4,4,8,4,104.19,0.233569444
2,4,2,8,2,109.12372,0.240564167
4,6,4,4,4,111.26271,0.68646125
4,6,4,4,4,117.55041,0.642764458
4,4,4,8,4,119.27,0.318486111
4,4,4,4,4,146.01,0.457125
4,6,2,8,4,152.08815,0.298934014
4,4,4,4,4,152.64071,0.506810167
4,6,4,4,2,156.24175,0.782349653
4,4,4,6,4,158.15885,0.309360444
2,4,2,6,4,158.96907,0.3125
4,4,2,6,4,160.51856,0.312747681
4,4,2,8,2,161.20939,0.314709528
4,4,2,4,4,161.28515,0.320928667
4,4,2,8,4,161.9302,0.313295944
4,6,2,4,2,163.96051,0.377765889
4,4,4,4,2,164.55722,0.457704472
4,4,2,4,4,165.2398,0.379202111
4,4,4,8,2,166.73557,0.322285514
4,4,4,6,4,169.73157,0.335936681
4,6,4,4,2,170.24,0.852930556
4,4,4,4,2,170.25,0.407666667
4,6,2,6,4,170.36061,0.329223611
4,6,2,6,2,171.14401,0.328707986
2,6,4,6,4,171.17526,0.327348181
4,6,2,4,4,171.26608,0.345415417
4,6,2,8,2,171.57,0.326393083
4,4,2,6,4,171.72776,0.328441333
4,4,2,6,2,172.32784,0.329550403
4,4,2,4,2,172.83618,0.359824042
4,6,2,4,2,173.3268,0.4056085
4,6,2,6,2,174.04588,0.332537986
2,6,4,4,4,175.91044,0.354505208
4,6,4,6,2,176.07227,0.354989264
4,6,4,8,2,176.5201,0.336847361
2,6,4,4,2,176.69073,0.343127194
2,4,4,6,2,176.90526,0.338625681
2,4,4,6,4,180.08247,0.349742236
4,4,4,8,4,180.17676,0.337648278
2,4,4,8,2,180.70834,0.341116875
2,6,4,8,2,180.85566,0.339389972
2,4,4,6,4,181.21429,0.342658708
2,4,2,4,2,181.26804,0.340263431
2,4,2,6,4,181.37113,0.353336194
4,6,2,8,4,181.6,0.361694444
2,6,2,6,2,181.65404,0.341679014
2,4,4,4,2,181.99999,0.353006875
2,4,4,4,4,182,0.355211889
2,6,2,6,4,183.35052,0.347265153
2,6,2,4,4,183.71874,0.352285833
4,6,4,8,4,183.77,0.411472222
2,6,2,8,4,184.11341,0.368771528
2,4,4,8,4,184.77319,0.346334431
2,6,4,6,2,186.15464,0.347250847
2,6,2,8,2,186.86458,0.3464265
2,4,4,8,4,188.91752,0.374241069
2,6,2,6,4,189.56701,0.363416389
4,6,4,6,4,189.84,0.635833333
2,6,4,8,4,190.14433,0.352691847
2,6,4,8,4,191.07,0.366388889
2,4,4,4,4,192.18,0.356944444
4,6,4,8,2,192.79402,0.358186139
2,6,2,8,4,193.53583,0.358575153
2,6,4,6,4,196.89,0.376416667
4,4,2,8,4,202.58,0.4445
2,4,2,2,4,207.38143,0.389361375
2,4,2,6,2,211.83,0.397555556
4,4,2,8,4,212.47,0.413611111
2,2,4,6,2,217.16494,0.391723917
4,4,2,6,4,219.19,0.409236111
4,6,2,8,4,220.53,0.411388889
4,6,2,6,4,222.61,0.430708333
4,6,2,6,4,224.89,0.416763889
4,4,4,4,4,227.66,0.691569444
4,4,2,6,2,229.02401,0.425430208
4,6,2,4,4,229.06,0.523083333
4,4,2,4,4,229.11,0.461416667
4,6,4,4,2,229.45,0.990777778
4,6,4,4,4,230.32,1.020666667
4,6,2,4,4,232.03,0.514958333
2,2,4,4,4,236.74814,0.421543819
4,4,2,4,2,238.23,0.563819444
4,4,4,4,2,240.76,0.765861111
4,6,4,6,2,241.02,0.589277778
4,6,2,8,2,242.16,0.442208333
4,4,4,8,2,242.64,0.452111111
4,4,2,8,2,243.77,0.449402778
4,6,2,6,2,243.97,0.453180556
4,4,2,4,2,245.07,0.576430556
4,6,2,4,2,245.62,0.516527778
4,4,4,8,2,246.31,0.457888889
4,6,2,8,2,249.26,0.451875
2,2,4,4,4,250.15465,0.439447347
4,4,2,6,2,250.97,0.453569444
2,2,4,6,4,251.27836,0.441108292
4,6,4,8,2,251.7,0.515444444
4,6,4,6,2,252.08,0.725972222
2,2,2,6,4,255.56701,0.445360833
4,4,2,8,2,255.65,0.476013889
2,2,4,8,4,257.81443,0.456300083
4,2,4,6,4,258.07299,0.446536125
2,4,2,4,2,258.57,0.457611111
2,2,2,4,4,259.47733,0.455934792
2,6,2,4,2,259.62,0.468694444
2,4,4,4,2,259.81,0.550722222
2,4,2,2,4,260.85,1.663708333
2,4,4,4,4,262.75,0.496375
4,2,2,6,2,263.84742,0.45505725
2,4,2,8,2,264.51,0.469847222
2,4,2,4,2,264.78,0.513097222
4,2,2,4,4,265.00794,0.462181681
2,6,4,6,2,266.46,0.469930556
4,2,4,6,4,267.01,0.464861111
2,6,2,8,4,267.21,0.472138889
4,2,2,8,4,267.90042,0.475219681
2,6,2,6,4,268.04,0.474069444
2,2,2,6,4,268.29495,0.461257611
2,6,4,4,2,269.34,0.550736111
4,2,4,6,2,269.6134,0.4634665
2,6,4,4,2,269.63,0.556583333
2,6,2,8,2,270.04,0.48025
2,2,2,8,2,270.13403,0.468699931
4,2,4,4,4,271.67489,0.469290486
2,6,2,6,2,271.77,0.48275
4,4,4,2,4,272.11402,2.122924722
2,2,2,4,4,272.72165,0.474599083
2,4,4,6,2,273.3,0.483902778
4,2,4,4,4,274.01774,0.472590528
2,4,4,4,2,274.28,0.525222222
2,6,4,6,4,274.45,0.483944444
4,2,4,8,2,275.0467,0.471614069
4,4,4,2,4,275.31,2.116722222
4,6,4,2,4,276.06855,2.581552792
2,6,4,6,2,277.26,0.489888889
2,6,2,8,2,277.87,0.486847222
2,4,4,8,4,278.07,0.48625
2,6,4,8,2,278.62,0.486527778
4,6,4,2,2,278.81938,2.553500542
2,4,4,6,2,279.21,0.503777778
2,6,2,6,2,280.77,0.489805556
2,4,4,8,2,280.77,0.496416667
2,4,4,8,2,281.73,0.496097222
2,4,2,6,4,284.72,0.503263889
2,4,2,2,4,285.53,1.702361111
2,4,4,6,4,286.26,0.502097222
2,2,4,4,2,286.3,0.505361111
4,2,2,6,4,286.45145,0.487353861
4,6,4,2,4,286.48796,2.677372167
4,2,4,4,2,288.3067,0.489930597
2,2,2,2,2,291.07629,0.8476465
4,2,4,8,4,291.75,0.507875
2,6,4,8,4,292.18,0.506138889
2,4,2,8,2,292.5,0.50775
4,2,4,2,4,292.95938,0.833162361
2,2,2,2,2,293.52803,0.920423736
4,2,2,6,4,294.48609,0.5013195
2,6,4,2,4,295.23959,1.661284764
4,4,2,2,4,295.45655,1.723588111
4,6,2,2,4,295.75279,1.700916667
4,2,4,2,2,297.69917,0.686595319
2,2,4,2,2,297.79381,0.826847028
2,2,4,6,2,298.58,0.523680556
2,2,4,2,4,299.13401,0.879925569
2,4,4,2,4,299.6701,1.748654097
4,6,2,2,4,299.76474,1.776849611
4,4,2,2,2,299.84557,1.909765486
2,2,4,2,2,299.95875,0.982603028
2,4,2,2,2,300.05154,1.632116264
2,4,4,2,2,300.7732,1.691752611
2,4,4,2,4,301.5567,1.436454722
2,2,4,8,4,303.25124,0.511388458
4,2,4,2,4,303.30361,0.674233264
4,2,2,2,4,303.35185,0.773426778
4,6,2,2,2,304.36485,1.863021056
4,2,2,2,2,304.79321,0.816021472
4,2,2,2,4,307.10784,1.021298139
2,2,2,8,4,308.20619,0.525085903
4,4,2,2,4,308.39752,1.912622528
2,2,4,6,4,309.82,0.531611111
2,2,4,6,2,310.66,0.539194444
2,2,2,4,4,310.9508,0.527723514
2,2,4,4,2,311.26889,0.537317903
2,6,4,2,2,313.02061,1.738330417
2,6,2,4,2,313.98815,0.527102625
2,2,2,6,2,314.36,0.541027778
2,4,2,8,4,315.86,0.5575
2,2,4,8,4,316.47485,0.544234181
2,6,2,4,4,316.62886,0.529667778
4,2,2,4,2,318.31196,0.529499708
2,2,2,6,2,318.37113,0.53278925
4,2,4,6,4,319.96,0.543944444
2,2,2,4,2,320.45,0.54725
2,2,2,8,4,322.85405,0.558790042
2,2,4,4,4,323.24,0.547041667
2,2,2,6,4,323.36,0.548472222
2,2,2,4,2,325.46175,0.544842333
2,2,4,8,2,325.97,0.560458333
4,2,4,4,4,328.4,0.556930556
2,2,2,2,4,331.41237,0.561025153
4,2,2,6,2,332.68,0.564430556
2,6,2,2,2,333.55047,2.025200306
4,2,2,8,2,335.41,0.562777778
4,2,4,8,2,336.75,0.569402778
2,6,2,2,4,337.07443,0.572237847
2,4,2,8,4,338.45361,0.55837625
2,6,2,2,4,339.53609,1.265793236
4,2,4,6,2,340.22,0.56625
4,2,2,4,2,341.00525,0.573271181
4,2,4,8,2,341.34,0.575388889
4,2,4,6,2,342.15697,0.571856903
4,2,4,4,2,346.28,0.575930556
4,2,2,6,4,347.78,0.581611111
4,2,2,6,2,348.07,0.582208333
2,6,4,2,4,349.25,0.579277778
4,2,4,4,2,350.85,0.581986111
2,2,2,2,4,354.0101,1.028465194
2,2,2,2,2,359.98,1.058027778
4,2,2,2,2,363.3,1.002263889
2,6,2,2,2,365.55,1.550319444
4,4,4,2,4,365.64,2.279416667
4,6,2,2,2,366.43,2.084416667
2,4,2,2,2,367.27,1.829888889
4,4,2,2,4,367.33,2.081097222
4,4,2,2,2,367.75,2.073611111
4,6,2,2,4,368.27,2.021638889
4,2,2,2,2,369.76,1.063930556
4,2,2,2,4,370.02,1.0745
4,2,4,2,4,370.58,0.777097222
2,4,2,2,2,370.67,1.583097222
2,2,4,2,4,370.74,1.192458333
4,2,4,2,2,371.05,0.970541667
4,6,4,2,2,373.07,2.605416667
4,6,4,2,2,374.06,2.643055556
2,2,4,2,4,375.19,1.144777778
2,2,4,2,2,375.36,1.150944444
2,6,4,2,2,375.76,1.715388889
4,6,2,2,2,375.82,2.161041667
4,4,2,2,2,376.15,2.045125
4,6,4,2,4,376.21,2.663833333
2,6,4,2,4,377.1,1.744666667
2,4,4,2,2,378.10889,1.706057556
4,2,4,2,2,379.19,1.079555556
2,4,4,2,4,379.52,1.711277778
2,2,2,8,4,380,0.634722222
2,6,2,4,4,381.75,0.624513889
2,2,2,4,2,386.35,0.635083333
2,6,4,2,2,387.01,1.661791667
2,6,2,2,2,389.97,1.897097222
2,6,2,4,2,390.4,0.638375
4,2,2,4,2,392.02,0.640430556
2,2,2,6,2,401.81,0.662
2,4,2,8,4,419.27,0.680513889
2,2,2,2,4,420.92,0.68475
2,2,4,4,2,422.27,0.681861111
2,2,4,6,4,435.61,0.702819444
2,6,2,2,4,452.02,0.753805556
2,6,4,8,2,452.2997,0.730130069
4,2,2,8,4,452.93875,0.718686361
2,2,2,8,2,457.05177,0.723914528
4,2,2,8,2,472.69876,0.745151792
4,2,4,8,4,476.41958,0.750095889
4,2,2,4,4,476.65463,0.752026028
4,2,2,8,4,517.74,0.818444444
4,2,2,8,2,530.38,0.836875
2,2,2,8,2,533.74,0.844166667
4,2,4,8,4,535.18253,0.842475736
4,2,2,4,4,541.82,0.848291667
2,4,2,6,2,466.3,0.750597222
2,4,2,6,2,347.15464,0.574871111
